id	abbreviation	n	exchange
cpd11620	fdxrd	2	0
cpd11621	fdxox	100	0
cpd11640	h2	0	0
cpd00003	nad	2	0
cpd00004	nadh	100	0
cpd00067	h	100	0
cpd11640_e	h2_e	100	1
cpd00005	nadph	100	0
cpd00006	nadp	100	0
cpd00011	co2	0	0
cpd00047	for	100	0
cpd00087	thf	100	0
cpd00002	atp	2	0
cpd00008	adp	100	0
cpd00009	pi	100	0
cpd00201	10fthf	100	0
cpd00347	methf	100	0
cpd00001	h2o	100	0
cpd00345	5mthf	100	0
cpd12810	Corrinoid	100	0
cpd12809	Methylcorrinoid	100	0
cpd00010	coa	100	0
cpd00022	accoa	2	0
cpd00196	actp	100	0
cpd00029	ac	100	0
cpd00067_e	h_e	0	1
cbh0003	biomass	2	0
cpd00011_e	co2_e	100	1
