ID	reactants	products	String	Rate
rbh0035_a	"cpd11640_e:1, ebh0035_a:1"	ebh0035_b:1	(1) H2[out] + (1) H2ex[alone] --> (1) H2ex[conj]	0.1
rbh0035_b	ebh0035_b:1	"cpd11640_e:1, ebh0035_a:1"	(1) H2ex[conj] --> (1) H2[out] + (1) H2ex[alone]	0.001
rbh0035_c	ebh0035_b:1	"cpd11640:1, ebh0035_a:1"	(1) H2ex[conj] --> (1) H2 + (1) H2ex[alone]	0.1
rbh0035_d	"cpd11640:1, ebh0035_a:1"	ebh0035_b:1	(1) H2 + (1) H2ex[alone] --> (1) H2ex[conj]	0.001
rbh0034_a	"cpd00011_e:1, ebh0034_a:1"	ebh0034_b:1	(1) CO2[out]  + (1) CO2ex[alone] --> (1) CO2ex[conj]	0.1
rbh0034_b	ebh0034_b:1	"cpd00011_e:1, ebh0034_a:1"	(1) CO2ex[conj] --> (1) CO2[out]  + (1) CO2ex[alone]	0.001
rbh0034_c	ebh0034_b:1	"cpd00011:1, ebh0034_a:1"	(1) CO2ex[conj] --> Co2 + (1) CO2ex[alone]	0.1
rbh0034_d	"cpd00011:1, ebh0034_a:1"	ebh0034_b:1	Co2 + (1) CO2ex[alone] --> (1) CO2ex[conj]	0.001
rbh0021_a	"cpd11621:2, cpd00003:1,  cpd11640:2, ebh0021_a:1"	ebh0021_b:1	(2) Fd + (1) NAD+ + (2) H2 (1) hydI[alone] --> (1) hydI[conj]	0.1
rbh0021_b	ebh0021_b:1	"cpd11621:2, cpd00003:1,  cpd11640:2, ebh0021_a:1"	(1) hydI[conj] --> (2) Fd + (1) NAD+ + (2) H2 (1) hydI[alone]	0.001
rbh0021_c	ebh0021_b:1	"cpd11620:2, cpd00004:1, cpd00067:3, ebh0021_a:1"	(1) hydI[conj] --> (2) Fd? + (1) NADH + (3) H? + (1) hydI[alone]	0.1
rbh0021_d	"cpd11620:2, cpd00004:1, cpd00067:3, ebh0021_a:1"	ebh0021_b:1	(2) Fd? + (1) NADH + (3) H? + (1) hydI[alone] --> (1) hydI[conj]	0.001
rbh0032_a	"cpd11620:2, cpd00003:1, cpd00067:3, ebh0032_a:1"	ebh0032_b:1	(2) Fd- + (1) NAD+ + (3) H+ + (1) rnf[alone] --> (1) rnf[conj]	0.1
rbh0032_b	ebh0032_b:1	"cpd11620:2, cpd00003:1, cpd00067:3, ebh0032_a:1"	(1) rnf[conj] --> (2) Fd- + (1) NAD+ + (3) H+ + (1) rnf[alone]	0.001
rbh0032_c	ebh0032_b:1	"cpd11621:2, cpd00004:1, cpd00067_e:2, ebh0032_a:1"	(1) rnf[conj] --> (2) Fd + (1) NADH + (2) H+ [out] + (1) rnf[alone]	0.1
rbh0032_d	"cpd11621:2, cpd00004:1, cpd00067_e:2, ebh0032_a:1"	ebh0032_b:1	(2) Fd + (1) NADH + (2) H+ [out] + (1) rnf[alone] --> (1) rnf[conj]	0.001
rbh0033_a	"cpd00008:1, cpd00067_e:3, cpd00009:1, ebh0033_a:1"	ebh0033_b:1	(1) ADP + (5) H+[out] + (1) Pi + (1) atpF[alone] --> (1) atpF[conj]	0.1
rbh0033_b	ebh0033_b:1	"cpd00008:1, cpd00067_e:3, cpd00009:1, ebh0033_a:1"	(1) atpF[conj] --> (1) ADP + (5) H+[out] + (1) Pi + (1) atpF[alone]	0.001
rbh0033_c	ebh0033_b:1	"cpd00002:1, cpd00067:4, cpd00001:1, ebh0033_a:1"	(1) atpF[conj] --> (1) ATP + (4) H+ + (1) H2O + (1) atpF[alone]	0.1
