id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd00061	pep	Phosphoenolpyruvate	C3H2O6P	166	Primary Database	DTBNBXWJWCWCIK-UHFFFAOYSA-K	-3	1	0	null	0	-284.84	0.2	1:4:3.36;1:8:0.76;1:10:6.02		null	null	Name: 2-(phosphooxy)- 2-propenoate; P-enol-pyr; P-enol-pyruvate; PEP; Phosphoenolpyruvate; Phosphoenolpyruvic acid; phosphoenolpyruvate|AraCyc: PHOSPHO-ENOL-PYRUVATE|BiGG: pep|BrachyCyc: PHOSPHO-ENOL-PYRUVATE|KEGG: C00074|MetaCyc: PHOSPHO-ENOL-PYRUVATE	C=C(OP(=O)([O-])[O-])C(=O)[O-]	GC|EQ|EQU
cpd00020	pyr	Pyruvate	C3H3O3	87	Primary Database	LCTONWCANYUPML-UHFFFAOYSA-M	-1	1	0	null	0	-82.56	0.18	1:4:2.93	1:5:-9.58	null	null	Name: 2-Oxopropanoate; 2-Oxopropanoic acid; 2-oxo-propionic acid; 2-oxopropanoate; 2-oxopropanoic acid; BTS; Pyroracemic acid; Pyruvate; Pyruvic acid; acetylformic acid; alpha-ketopropionic acid; pyroracemic acid; pyruvate; pyruvic acid|AraCyc: PYRUVATE|BiGG: pyr|BrachyCyc: PYRUVATE|KEGG: C00022|MetaCyc: PYRUVATE	CC(=O)C(=O)[O-]	GC|EQ|EQU
c00615	p-L-his	[Protein]-L-Histidine	C7H8N4O2R2		KEGG															
c04261	p-Npi-L-his	[Protein] Npi-phospho-L-histidine	C7H9N4O5PR2		KEGG															
cbh0001	c-L-his	[carrier]-L-histidine			This study															
cbh0002	c-p-L-his	[carrier]-phopho-L-histidine			This study															
cpd00082	fru	D-Fructose	C6H12O6	180	Primary Database	RFSUNEUAIZKAJO-VRPWFDPXSA-N	0	1	0	null	0	-101.93	0.3	1:5:10.28;1:7:12.73;1:9:14.47;1:10:13.91;1:12:15.00	1:3:-4.42;1:5:-4.86;1:7:-4.03;1:9:-3.45;1:10:-3.69;1:12:-2.98	null	null	Name: D-Fructose; D-arabino-Hexulose; Fructofuranose; Fruit sugar; Levulose|AlgaGEM: S_D_45_Fructose_c|AraGEM: S_D_45_Fructose_c|BiGG: fru|KEGG: C00095|MetaCyc: Fructofuranose	OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00802	f1p	D-fructose-1-phosphate	C6H11O9P	259	Primary Database	RHKKZBWRNHGJEZ-VRPWFDPXSA-L	-2	1	0	null	0	-314.54	0.33	1:5:10.29;1:7:12.74;1:10:14.05;1:13:14.82;1:14:1.16;1:15:6.19	1:3:-4.42;1:5:-4.88;1:7:-4.03;1:10:-3.69;1:13:-2.98	null	null	Name: D-Fructose 1-phosphate; D-Fructose1-phosphate; D-fructofuranose-1-phosphate; D-fructose-1-phosphate; Fructose 1-phosphate; beta-D-fructofuranose 1-phosphate; beta-D-fructofuranose-1-P; beta-D-fructose-1-P; beta-D-fructose-1-phosphate; fructose-1-P; fructose-1-phosphate|AraCyc: FRU1P|BiGG: f1p|BrachyCyc: FRU1P|KEGG: C01094; C02976|MetaCyc: D-fructofuranose-1-phosphate; D-fructose-1-phosphate; FRU1P	O=P([O-])([O-])OCC1(O)O[C@H](CO)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00794	tre	TRHL	C12H22O11	342	Primary Database	HDTRYLNUVZCQOY-LIZSDCNHSA-N	0	1	0	null	0	-163.92	0.35	1:8:11.91;1:13:14.55;1:16:12.43;1:17:13.45;1:18:14.90;1:21:14.16;1:22:12.98;1:23:15.33	1:8:-3.95;1:13:-3.68;1:16:-3.95;1:17:-3.65;1:18:-2.98;1:21:-3.68;1:22:-3.65;1:23:-2.98	null	null	"Name: D-(+)-trehalose; D-Trehalose; D-trehalose; TRHL; Trehalose; alpha,alpha'-Trehalose; alpha,alpha-Trehalose; alpha,alpha-trehalose; alpha-D-Glcp-(1&harr,1)-alpha-D-Glcp; alpha-D-glucopyranosyl alpha-D-glucopyranoside; alpha-D-glucopyranosyl-alpha-D-glucopyranoside; trehalose|AraCyc: TREHALOSE|BiGG: tre|BrachyCyc: TREHALOSE|KEGG: C01083; G00293; G09275; G11546|MetaCyc: TREHALOSE"	OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00523	tre6p	Trehalose 6-phosphate	C12H21O14P	421	Primary Database	LABSPYBHMPDTEL-LIZSDCNHSA-L	-2	1	0	null	0	-377.22	0.52	1:8:11.91;1:13:12.99;1:16:12.43;1:17:14.46;1:21:13.49;1:23:15.04;1:25:1.22;1:26:6.25	1:8:-3.95;1:13:-3.68;1:16:-3.95;1:17:-3.65;1:21:-3.68;1:23:-3.65	null	null	"Name: D-trehalose-6-phosphate; Trehalose 6-phosphate; alpha,alpha'-Trehalose 6-phosphate; alpha,alpha-D-trehalose 6-phosphate; alpha,alpha-trehalose 6-phosphate; trehalose 6-phosphate; trehalose phosphate|AraCyc: TREHALOSE-6P|BiGG: tre6p|BrachyCyc: TREHALOSE-6P|KEGG: C00689; G09795|MetaCyc: TREHALOSE-6P"	O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00001	h2o	H2O	H2O	18	Primary Database	XLYOFNOQVPJJNP-UHFFFAOYSA-N	0	1	0	null	0	-37.54	0.18	1:1:15.70	1:1:-1.80	null	null	Name: H20; H2O; H3O+; HO-; Hydroxide ion; OH; OH-; Water; hydrogen oxide; hydroxide; hydroxide ion; hydroxyl; hydroxyl ion; oxonium; water|AraCyc: OH; WATER|BiGG: h2o; oh1|BrachyCyc: WATER|KEGG: C00001; C01328|MetaCyc: OH; OXONIUM; WATER	O	GC|EQ|EQU
cpd00027	glc-D	D-Glucose	C6H12O6	180	Primary Database	WQZGKKKJIJFFOK-GASJEMHNSA-N	0	1	0	null	0	-102.12	0.16	1:6:12.69;1:8:15.12;1:10:14.51;1:11:11.30;1:12:13.58	1:3:-4.39;1:6:-3.65;1:8:-2.98;1:10:-3.68;1:11:-4.39;1:12:-3.94	null	null	Name: D-(+)-Glucose; D-Glucopyranose; D-Glucose; Dextrose; Glucopyranose; Glucose; Grape sugar|AlgaGEM: S_D_45_Glucose_c; S_Glucose_c; S_Glucose_ext_b; S_Glucose_p|AraGEM: S_D_45_Glucose_c|BiGG: glc__D|KEGG: C00031; C00293|MetaCyc: Glucopyranose	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00079	g6p	D-glucose-6-phosphate	C6H11O9P	259	Primary Database	NBSCHQHZLSJFNQ-GASJEMHNSA-L	-2	1	0	cpd26836	0	-314.95	0.16	1:3:1.22;1:4:6.25;1:11:12.69;1:14:14.90;1:15:11.30;1:16:13.62	1:9:-4.39;1:11:-3.65;1:14:-3.68;1:15:-4.39;1:16:-3.94	null	null	Name: D-Glucose 6-phosphate; D-Glucose6-phosphate; D-glucopyranose-6-phosphate; Glucose 6-phosphate; Glucose-6-phosphate; Robison ester; alpha-D-glucose-6-phosphate|AraCyc: D-glucose-6-phosphate|BiGG: g6p|BrachyCyc: D-glucose-6-phosphate|KEGG: C00092|MetaCyc: D-glucopyranose-6-phosphate; D-glucose-6-phosphate; Glucose-6-phosphate	O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00002	atp	ATP	C10H13N5O13P3	504	Primary Database	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	-3	1	0	null	0	-548.85	0.36	1:14:12.60;1:22:3.29;1:26:0.90;1:29:7.42;1:30:1.55	1:6:-7.46;1:9:-1.06;1:14:-3.85;1:15:4.93	null	null	Name: ATP; Adenosine 5'-triphosphate; adenosine-5'-triphosphate; adenosine-triphosphate; adenylpyrophosphate|AraCyc: ATP|BiGG: atp|BrachyCyc: ATP|KEGG: C00002|MetaCyc: ATP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00008	adp	ADP	C10H13N5O10P2	425	Primary Database	XTWYTFMLZFPYCI-KQYNXXCUSA-L	-2	1	0	null	0	-340.04	0.3	1:14:12.46;1:18:13.98;1:22:2.22;1:25:7.42;1:26:1.77	1:6:-7.46;1:9:-1.05;1:14:-3.85;1:15:4.93;1:18:-3.67	null	null	Name: ADP; Adenosine 5'-diphosphate; Adenosine 5'-phosphate; adenosine 5'-pyrophosphate; adenosine pyrophosphate; adenosine-5'-diphosphate; adenosine-5-diphosphate; adenosine-diphosphate|AraCyc: ADP|BiGG: adp|BrachyCyc: ADP|KEGG: C00008; G11113|MetaCyc: ADP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	GC|EQ|EQU
cpd00067	h	H+	H	1	Primary Database	GPRLSGONYQIRFK-UHFFFAOYSA-N	1	1	0	null	0	0	0			null	null	Name: H+; Hydron; Proton; hydrogen ion; proton|AraCyc: PROTON|BiGG: h|BrachyCyc: PROTON|KEGG: C00080|MetaCyc: PROTON	[H+]	GC|EQ|EQU
cpd00067_e	h_e	H+	H	1	Primary Database	GPRLSGONYQIRFK-UHFFFAOYSA-N	1	1	0	null	0	0	0			null	null	Name: H+; Hydron; Proton; hydrogen ion; proton|AraCyc: PROTON|BiGG: h|BrachyCyc: PROTON|KEGG: C00080|MetaCyc: PROTON	[H+]	GC|EQ|EQU
cpd00072	f6p	D-fructose-6-phosphate	C6H11O9P	259	Primary Database	BGWGXPAPYGQALX-VRPWFDPXSA-L	-2	1	0	null	0	-313.55	0.3	1:7:13.99;1:10:10.28;1:11:12.73;1:13:14.68;1:14:1.22;1:15:6.25	1:2:-4.42;1:7:-3.69;1:10:-4.86;1:11:-4.03;1:13:-3.45	null	null	Name: CPD-18719; D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; D-Fructose6-phosphate; Neuberg ester|AlgaGEM: S_D_45_Fructose_32_6_45_phosphate_c; S_D_45_Fructose_32_6_45_phosphate_p|AraGEM: S_D_45_Fructose_32_6_45_phosphate_c; S_D_45_Fructose_32_6_45_phosphate_p|BiGG: f6p; f6p_B|KEGG: C00085|MetaCyc: CPD-18719	O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00290	fdp	"D-fructose-1,6-bisphosphate"	C6H10O12P2	338	Primary Database	RNBGYGVWRKECFJ-VRPWFDPXSA-J	-4	1	0	null	0	-527	0.26	1:6:14.17;1:7:12.75;1:10:10.29;1:16:1.49;1:17:6.52;1:19:0.89;1:20:5.92	1:4:-4.42;1:6:-3.69;1:7:-4.03;1:10:-4.88	null	null	"Name: D-Fructose 1,6-bisphosphate; D-Fructose1-6-bisphosphate|AlgaGEM: S_D_45_Fructose_32_1_44_6_45_bisphosphate_c; S_D_45_Fructose_32_1_44_6_45_bisphosphate_p|AraGEM: S_D_45_Fructose_32_1_44_6_45_bisphosphate_c; S_D_45_Fructose_32_1_44_6_45_bisphosphate_p|BiGG: fdp|JP_Creinhardtii_NMeth: M_fdp_c; M_fdp_f; M_fdp_h|KEGG: C00354"	O=P([O-])([O-])OC[C@H]1OC(O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O	GC|EQ|EQU
cpd00012	ppi	PPi	HO7P2	176	Primary Database	XPPKVPWEQAFLFU-UHFFFAOYSA-K	-3	1	0	null	0	-464.02	0.27	1:3:8.17;1:4:1.70;1:7:3.06;1:8:6.98		null	null	Name: Diphosphate; Diphosphoric acid; PP; PPi; Pyrophosphate; Pyrophosphoric acid; diphosphate; pyrophosphate|AraCyc: PPI|BiGG: ppi|BrachyCyc: PPI|KEGG: C00013|MetaCyc: PPI	O=P([O-])([O-])OP(=O)([O-])O	GC|EQ|EQU
cpd00009	pi	Phosphate	HO4P	96	Primary Database	NBIIXXVUZAFLBC-UHFFFAOYSA-L	-2	1	0	null	0	-252.51	0.18	1:2:12.90;1:3:1.80;1:4:6.95		null	null	Name: H2PO4-; HPO4-2; HPO42-; Orthophosphate; Orthophosphoric acid; PO43-; Phosphate; Phosphoric acid; Pi; dihydrogen phosphate; inorganic phosphate; orthophosphate; phosphate; phosphate-inorganic; phosphoric acid|AraCyc: Pi|BiGG: pi|BrachyCyc: Pi|KEGG: C00009|MetaCyc: CPD-16459; CPD-20124; Pi	O=P([O-])([O-])O	GC|EQ|EQU
