ID	Name	Aliases	reactants	products
rbh0001_a	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	"cpd00061:1,c00615:1,ebh0001_a:1"	ebh0001_b:1
rbh0001_b	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	ebh0001_b:1	"cpd00061:1,c00615:1,ebh0001_a:1"
rbh0001_c	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	ebh0001_b:1	"cpd00020:1,c04261:1,ebh0001_a:1"
rbh0001_d	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	"cpd00020:1,c04261:1,ebh0001_a:1"	ebh0001_b:1
rbh0002_a	phosphocarrier protein HPr		"c04261:1, cbh0001:1, ebh0002_a:1"	ebh0002_b:1
rbh0002_b	phosphocarrier protein HPr		ebh0002_b:1	"c00615:1,cbh0002:1, ebh0002_a:1"
rbh0003_a	Fructose-specific PTS (fruA)	EC 2.7.1.202	"cpd00082:1,ebh0003_a:1, cbh0002:1"	ebh0003_b:1
rbh0003_b	Fructose-specific PTS (fruA)	EC 2.7.1.202	ebh0003_b:1	"cpd00802:1,ebh0003_a:1, cbh0001:1"
rbh0004_a	Trehalose-specific PTS (treB)	EC 2.7.1.201	"cpd00794:1, cbh0002:1, ebh0004_a:1"	ebh0004_b:1
rbh0004_b	Trehalose-specific PTS (treB)	EC 2.7.1.201	ebh0004_b:1	"cpd00523:1, cbh0001:1, ebh0004_a:1"
rbh0005_a	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	"cpd00523:1, cpd00001:1, ebh0005_a:1"	ebh0005_b:1
rbh0005_b	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	ebh0005_b:1	"cpd00523:1, cpd00001:1, ebh0005_a:1"
rbh0005_c	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	ebh0005_b:1	"cpd00079:1,cpd00027:1,ebh0005_a:1"
rbh0005_d	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	"cpd00079:1,cpd00027:1,ebh0005_a:1"	ebh0005_b:1
rbh0006_a	Glucokinase	EC 2.7.1.2	"cpd00027:1,cpd00002:1, ebh0006_a:1"	ebh0006_b:1
rbh0006_b	Glucokinase	EC 2.7.1.2	ebh0006_b:1	"cpd00079:1,cpd00008:1,ebh0006_a:1, cpd00067:1"
rbh0007_a	Glucose-6-phosphate isomerase	EC 5.3.1.9	"cpd00079:1,ebh0007_a:1"	ebh0007_b:1
rbh0007_b	Glucose-6-phosphate isomerase	EC 5.3.1.9	ebh0007_b:1	"cpd00079:1,ebh0007_a:1"
rbh0007_c	Glucose-6-phosphate isomerase	EC 5.3.1.9	ebh0007_b:1	"cpd00072:1,ebh0007_a:1"
rbh0007_d	Glucose-6-phosphate isomerase	EC 5.3.1.9	"cpd00072:1,ebh0007_a:1"	ebh0007_b:1
rbh0008_a	ATP-dependent 6-phosphofructokinase	EC 2.7.1.11	"cpd00072:1,cpd00002:1,ebh0008_a:1"	ebh0008_b:1
rbh0008_b	ATP-dependent 6-phosphofructokinase	EC 2.7.1.11	ebh0008_b:1	"cpd00290:1,cpd00067:1,cpd00008:1,ebh0008_a:1"
rbh0009_a	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	"cpd00012:1,cpd00072:1,ebh0009_a:1"	ebh0009_b:1
rbh0009_b	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	ebh0009_b:1	"cpd00012:1,cpd00072:1,ebh0009_a:1"
rbh0009_c	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	ebh0009_b:1	"cpd00009:1,cpd00290:1,cpd00067:1,ebh0009_a:1"
rbh0009_d	Pyrophosphate-fructose 6-phosphate 1-phosphotransferase	EC 2.7.1.90 	"cpd00009:1,cpd00290:1,cpd00067:1,ebh0009_a:1"	ebh0009_b:1
rbh0010_a	Fructose 1-phosphate kinase	EC 2.7.1.56	"cpd00002:1,cpd00802:1,ebh0010_a:1"	ebh0010_b:1
rbh0010_b	Fructose 1-phosphate kinase	EC 2.7.1.56	ebh0010_b:1	"cpd00008:1,cpd00290:1,ebh0010_a:1,cpd00067:1"
rbh0011_a	Fructose-bisphosphate aldolase	EC 4.1.2.13	"cpd00290:1,ebh0011_a:1"	ebh0011_b:1
rbh0011_b	Fructose-bisphosphate aldolase	EC 4.1.2.13	ebh0011_b:1	"cpd00290:1,ebh0011_a:1"
rbh0011_c	Fructose-bisphosphate aldolase	EC 4.1.2.13	ebh0011_b:1	"cpd00095:1,cpd00102:1,ebh0011_a:1"
rbh0011_d	Fructose-bisphosphate aldolase	EC 4.1.2.13	"cpd00095:1,cpd00102:1,ebh0011_a:1"	ebh0011_b:1
rbh0012_a	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	"cpd00095:1,ebh0012_a:1"	ebh0012_b:1
rbh0012_b	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	ebh0012_b:1	"cpd00095:1,ebh0012_a:1"
rbh0012_c	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	ebh0012_b:1	"cpd00102:1,ebh0012_a:1"
rbh0012_d	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	EC 5.3.1.1 	"cpd00102:1,ebh0012_a:1"	ebh0012_b:1
rbh0013_a	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	"cpd00102:1,cpd00009:1,cpd00003:1,ebh0013_a:1"	ebh0013_b:1
rbh0013_b	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	ebh0013_b:1	"cpd00102:1,cpd00009:1,cpd00003:1,ebh0013_a:1"
rbh0013_c	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	ebh0013_b:1	"cpd00203:1,cpd00004:1,cpd00067:1,ebh0013_a:1"
rbh0013_d	Glyceraldehyde 3-phosphate dehydrogenase	EC 1.2.1.12	"cpd00203:1,cpd00004:1,cpd00067:1,ebh0013_a:1"	ebh0013_b:1
rbh0014_a	phosphoglycerate kinase	EC 2.7.2.3 	"cpd00203:1,cpd00008:1,ebh0014_a:1"	ebh0014_b:1
rbh0014_b	phosphoglycerate kinase	EC 2.7.2.3 	ebh0014_b:1	"cpd00203:1,cpd00008:1,ebh0014_a:1"
rbh0014_c	phosphoglycerate kinase	EC 2.7.2.3 	ebh0014_b:1	"cpd00169:1,cpd00002:1,ebh0014_a:1"
rbh0014_d	phosphoglycerate kinase	EC 2.7.2.3 	"cpd00169:1,cpd00002:1,ebh0014_a:1"	ebh0014_b:1
rbh0015_a	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	"cpd00169:1,ebh0015_a:1"	ebh0015_b:1
rbh0015_b	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	ebh0015_b:1	"cpd00169:1,ebh0015_a:1"
rbh0015_c	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	ebh0015_b:1	"cpd00482:1,ebh0015_a:1"
rbh0015_d	"phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"	EC 5.4.2.12	"cpd00482:1,ebh0015_a:1"	ebh0015_b:1
rbh0016_a	Phosphopyruvate hydratase	EC 4.2.1.11 	"cpd00482:1,ebh0016_a:1"	ebh0016_b:1
