ID	Name	Aliases	reactants	products
rbh0001_a	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	"cpd00061:1,c00615:1,ebh0001_a:1"	ebh0001_b:1	(1) pep + (1) p-L-his + (1) PTSI(free) => (1) PTSI(conj)
rbh0001_b	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	ebh0001_b:1	"cpd00061:1,c00615:1,ebh0001_a:1"	(1) PTSI(conj) => (1) pep + (1) p-L-his + (1) PTSI(free)
rbh0001_c	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	ebh0001_b:1	"cpd00020:1,c04261:1,ebh0001_a:1"	(1) PTSI(conj) => (1) pyr + (1) p-Npi-L-his + (1) PTSI(free)
rbh0001_d	phosphoenolpyruvate:protein-L-histidine Npi-phosphotransferase	EC 2.7.3.9  	"cpd00020:1,c04261:1,ebh0001_a:1"	ebh0001_b:1	(1) pyr + (1) p-Npi-L-his + (1) PTSI(free) => (1) PTSI(conj)
rbh0002_a	phosphocarrier protein HPr		"c04261:1, cbh0001:1, ebh0002_a:1"	ebh0002_b:1	(1) p-Npi-L-his + (1) c-L-his + (1) PTSH(free) => (1) PTSH(conj)
rbh0002_b	phosphocarrier protein HPr		ebh0002_b:1	"c00615:1,cbh0002:1, ebh0002_a:1"	(1) PTSH(conj) => (1) p-L-his + (1) c-p-L-his + (1) PTSH(free)
rbh0003_a	Fructose-specific PTS (fruA)	EC 2.7.1.202	"cpd00082:1,ebh0003_a:1, cbh0002:1"	ebh0003_b:1	(1) fru + (1) FRUA(free) + (1) c-p-L-his => (1) FRUA(conj)
rbh0003_b	Fructose-specific PTS (fruA)	EC 2.7.1.202	ebh0003_b:1	"cpd00802:1,ebh0003_a:1, cbh0001:1"	(1) FRUA(conj) => (1) f1p + (1) FRUA(free) + (1) c-L-his
rbh0004_a	Trehalose-specific PTS (treB)	EC 2.7.1.201	"cpd00794:1, cbh0002:1, ebh0004_a:1"	ebh0004_b:1	(1) tre + (1) c-p-L-his + (1) TREB(free) => (1) TREB(conj)
rbh0004_b	Trehalose-specific PTS (treB)	EC 2.7.1.201	ebh0004_b:1	"cpd00523:1, cbh0001:1, ebh0004_a:1"	(1) TREB(conj) => (1) tre6p + (1) c-L-his + (1) TREB(free)
rbh0005_a	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	"cpd00523:1, cpd00001:1, ebh0005_a:1"	ebh0005_b:1	(1) tre6p + (1) h2o + (1) TREC(free) => (1) TREC(conj)
rbh0005_b	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	ebh0005_b:1	"cpd00523:1, cpd00001:1, ebh0005_a:1"	(1) TREC(conj) => (1) tre6p + (1) h2o + (1) TREC(free)
rbh0005_c	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	ebh0005_b:1	"cpd00079:1,cpd00027:1,ebh0005_a:1"	(1) TREC(conj) => (1) g6p + (1) glc-D + (1) TREC(free)
rbh0005_d	Trehalose-6-phosphate hydrolase	EC 3.2.1.93 	"cpd00079:1,cpd00027:1,ebh0005_a:1"	ebh0005_b:1	(1) g6p + (1) glc-D + (1) TREC(free) => (1) TREC(conj)
rbh0006_a	Glucokinase	EC 2.7.1.2	"cpd00027:1,cpd00002:1, ebh0006_a:1"	ebh0006_b:1	(1) glc-D + (1) atp + (1) GLK(free) => (1) GLK(conj)
rbh0006_b	Glucokinase	EC 2.7.1.2	ebh0006_b:1	"cpd00079:1,cpd00008:1,ebh0006_a:1, cpd00067:1"	(1) GLK(conj) => (1) g6p + (1) adp + (1) GLK(free) + (1) h
rbh0007_a	Glucose-6-phosphate isomerase	EC 5.3.1.9	"cpd00079:1,ebh0007_a:1"	ebh0007_b:1	(1) g6p + (1) PGI(free) => (1) PGI(conj)
rbh0007_b	Glucose-6-phosphate isomerase	EC 5.3.1.9	ebh0007_b:1	"cpd00079:1,ebh0007_a:1"	(1) PGI(conj) => (1) g6p + (1) PGI(free)
